Complete U.S. State Utilities Directory 2024-2025,,,
,,,
State,Utility Name,Ownership Type,Notes/Details
Minnesota,Great River Energy,Cooperative,G&T serving 1.7M through 28 cooperatives
Minnesota,Basin Electric Power Cooperative,Cooperative,Regional G&T
Minnesota,Dairyland Power Coop,Cooperative,G&T cooperative
Minnesota,East River Electric Power Co-op,Cooperative,Electric cooperative
Minnesota,Freeborn-Mower Co-op Services,Cooperative,Electric cooperative
Minnesota,L&O Power Co-op,Cooperative,Electric cooperative
Minnesota,Minnkota Power Cooperative,Cooperative,G&T with 11 member cooperatives
Minnesota,Missouri River Energy,Cooperative,Electric cooperative
Minnesota,People's Co-op Tri-County Electric,Cooperative,Electric cooperative
Minnesota,Connexus Energy,Cooperative,"147K+ members, largest in Minnesota"
Mississippi,Mississippi Power Company,Private (IOU),"Southern Company, 23 counties"
Mississippi,Entergy Mississippi,Private (IOU),Entergy subsidiary
Mississippi,Magnolia Electric Power,Private (IOU),Regional utility
Mississippi,Tennessee Valley Authority (TVA),Public,"Federal agency, NE Mississippi"
Mississippi,Cooperative Energy,Cooperative,Formerly South Mississippi Electric
Mississippi,Pearl River Valley EPA,Cooperative,Electric power association
Mississippi,Yazoo Valley Electric Power Association,Cooperative,Electric power association
Missouri,Evergy,Private (IOU),Western Missouri
Missouri,Ameren Missouri,Private (IOU),Eastern Missouri
Missouri,Empire District Electric Company,Private (IOU),Liberty Utilities
Missouri,Kansas City Power and Light Company,Private (IOU),Regional utility
Missouri,Missouri Public Utility Alliance (MPUA),Public,120+ municipal utilities
Missouri,City of Columbia Water and Light,Public,Municipal system
Missouri,City Utilities of Springfield,Public,Municipal system
Missouri,Citizens Electric Corporation,Public,Municipal system
Missouri,Independence Power and Light,Public,Municipal system
Missouri,"Associated Electric Cooperative, Inc.",Cooperative,G&T cooperative
Missouri,Black River Electric Cooperative,Cooperative,Electric cooperative
Missouri,Cuivre River Electric Cooperative,Cooperative,Electric cooperative
Missouri,Intercounty Electric Cooperative Association,Cooperative,Electric cooperative
Missouri,Laclede Electric Cooperative,Cooperative,Electric cooperative
Missouri,Macon Electric Cooperative,Cooperative,Electric cooperative
Missouri,Missouri Rural Electric Cooperative,Cooperative,Electric cooperative
Missouri,North Central Missouri Electric Cooperative,Cooperative,Electric cooperative
Missouri,Howell-Oregon Electric Cooperative,Cooperative,Electric cooperative
Missouri,Ozark Border Electric Cooperative,Cooperative,Electric cooperative
Missouri,Semo Electric Cooperative,Cooperative,Electric cooperative
Missouri,Sa-Ma-No Electric Cooperative,Cooperative,Electric cooperative
Missouri,White River Valley Electric Cooperative,Cooperative,Electric cooperative
Montana,NorthWestern Energy,Private (IOU),"Primary utility, most urban areas"
Montana,Montana-Dakota Utilities,Private (IOU),MDU Resources
Montana,City of Billings,Public,Municipal utility
Montana,Central Montana Electric Power Cooperative,Cooperative,Wholesale serving 8 cooperatives
Montana,Montana Electric Cooperatives' Association,Cooperative,Cooperative association
Montana,Flathead Electric Cooperative,Cooperative,Electric cooperative
Montana,Yellowstone Valley Electric Cooperative,Cooperative,Electric cooperative
Nebraska,Nebraska Public Power District (NPPD),Public,"Largest, serves 84 of 93 counties"
Nebraska,Omaha Public Power District (OPPD),Public,Municipal system
Nebraska,Lincoln Electric System,Public,Municipal system
Nebraska,Central Nebraska Public Power & Irrigation District,Public,Public power district
Nebraska,Municipal Energy Agency of Nebraska (MEAN),Public,Joint action agency
Nevada,NV Energy,Private (IOU),"2.4M customers, Berkshire Hathaway"
Nevada,Boulder City Municipal Utility,Public,Municipal system
Nevada,Mt. Wheeler Power,Cooperative,Central Nevada
Nevada,Wells Rural Electric,Cooperative,Rural electric
Nevada,Lincoln County Power District,Cooperative,Power district
